,Top_Taxa,Taxa_Name
1,Top_Taxa,Oscillospiraceae
2,GGB9557_SGB14966,
3,GGB34228_SGB72916,
4,GGB6544_SGB9243,
5,Clostridia_unclassified_SGB4367,Clostridia sp. WB4463
6,Eubacterium_sp_AF15_50,Eubacterium sp. AF15-50
7,Ruminococcaceae_bacterium,Ruminococcaceae bacterium
8,GGB9637_SGB15111,
9,Bifidobacterium_dentium_Gut,Bifidobacterium dentium
10,Veillonella_atypica_Gut,Veillonella atypica
11,Clostridia_bacterium,Clostridia bacterium
12,GGB9631_SGB15087,
13,Oscillibacter_sp_ER4,Oscillibacter sp. ER4
14,Gemmiger_SGB15299,Gemmiger formicilis  
15,GGB9615_SGB15053,
16,Intestinibacter_SGB6139,Intestinibacter bartlettii
17,Veillonella_parvula_Gut,Veillonella parvula
18,Fusicatenibacter_saccharivorans,Fusicatenibacter saccharivorans
19,GGB9631_SGB15085,
20,Bacteroides_finegoldii,Bacteroides finegoldii
21,GGB9568_SGB14980,
22,GGB9635_SGB15106,
23,Butyricimonas_faecalis,Butyricimonas faecalis
24,Lachnospiraceae_bacterium_NSJ_29,Lachnospiraceae bacterium NSJ-29
25,GGB9705_SGB15224,
26,Phocaeicola_massiliensis,Phocaeicola massiliensis
27,GGB9633_SGB15090,
28,Roseburia_sp_AM59_24XD,Roseburia sp. AM59-24XD
29,GGB4599_SGB6362,
30,Eubacterium_siraeum,Eubacterium siraeum
31,GGB9524_SGB14924,
32,Blautia_wexlerae,Blautia wexlerae
33,GGB3571_SGB4778,
34,Bilophila_wadsworthia,Bilophila wadsworthia
35,Clostridium_sp_NSJ_42,Clostridium sp. 42_12
36,GGB9597_SGB15022,
37,GGB9593_SGB15015,
38,Coprobacter_fastidiosus,Coprobacter fastidiosus
39,Intestinimonas_gabonensis,Intestinimonas gabonensis
40,Bacteroidaceae_bacterium_Gut,Bacteroidaceae bacterium
41,Faecalicatena_fissicatena,Faecalicatena fissicatena
42,Ruminococcaceae_unclassified_SGB15234,Ruthenibacterium lactatiformans
43,GGB9602_SGB15031,
44,Prevotella_copri_clade_A,Prevotella copri clade
45,Desulfovibrio_piger,Desulfovibrio piger
46,Dorea_sp_AF36_15AT,Dorea sp. AF36-15AT
47,Blautia_faecis,Blautia faecis
48,Anaerostipes_hadrus,Anaerostipes hadrus
49,Eubacterium_ventriosum,Eubacterium ventriosum
50,Faecalicatena_contorta,Faecalicatena contorta
51,Lentisphaeria_bacterium,Lentisphaeria bacterium
52,GGB3293_SGB4348,
53,Bacteroides_faecis,Bacteroides faecis
54,GGB51441_SGB71759,
55,Bifidobacterium_adolescentis,Bifidobacterium adolescentis
56,Gemmiger_formicilis,Gemmiger formicilis
57,GGB9696_SGB15212,
58,Rikenellaceae_unclassified_SGB2230,Rikenellaceae incertae sedis
59,Lactobacillus_gasseri,Lactobacillus gasseri
60,Lactobacillus_delbrueckii,Lactobacillus delbrueckii
61,Anaerotruncus_rubiinfantis,Anaerotruncus rubiinfantis
62,GGB3278_SGB4328,
63,Sutterella_wadsworthensis,Sutterella wadsworthensis
64,GGB9642_SGB15119,
65,GGB3277_SGB4327,
66,Clostridium_sp_AF34_13,Clostridium sp. AF34-13
67,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii
68,Clostridium_sp_AF27_2AA,Clostridium sp. AF27-2AA
69,GGB3570_SGB4777,
70,Clostridia_unclassified_SGB4373,Clostridium pasteurianum BC1
71,Clostridium_sp_AM22_11AC,Clostridium sp. AM22-11AC
72,Lachnospiraceae_bacterium_BX3,Jutongia hominis
73,Prevotella_SGB1653,Prevotella communis
74,Parasutterella_excrementihominis,Parasutterella excrementihominis
75,Ruminococcus_sp_NSJ_71,Ruminococcus intestinalis
76,GGB9818_SGB15459,
77,Streptococcus_gordonii_Gut,Streptococcus gordonii
78,Bacteroides_nordii,Bacteroides nordii
79,Clostridia_unclassified_SGB4447,
80,Holdemanella_biformis,Holdemanella biformis
81,Flavonifractor_plautii,Flavonifractor plautii
82,Blautia_massiliensis,Blautia massiliensis
83,Ruminococcus_gnavus,Mediterraneibacter gnavus
84,GGB9730_SGB15291,
85,GGB3486_SGB4658,
86,GGB2982_SGB3964,
87,GGB9581_SGB14999,
88,GGB9288_SGB14243,
89,Blautia_faecicola,Blautia faecicola
90,Coprococcus_catus,Coprococcus catus
91,GGB9758_SGB15368,
92,Mitsuokella_jalaludinii,Mitsuokella jalaludinii
93,GGB4585_SGB6340,
94,Bacteroides_fragilis,Bacteroides fragilis
95,Bacilli_unclassified_SGB6478,Bacilli bacterium
96,Blautia_sp_MSK_20_85,Blautia sp. MSK.20.85
97,Firmicutes_bacterium_AF16_15,Firmicutes bacterium AF16-15
98,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Waltera intestinalis
99,Intestinimonas_massiliensis,Intestinimonas massiliensis
100,GGB9774_SGB15394,
