,Top_Taxa,Taxa_Name
1,Selenomonas_flueggei,Selenomonas flueggei
2,Rothia_mucilaginosa_Saliva,Rothia mucilaginosa
3,Alloprevotella_sp_Lung230,Alloprevotella sp. Lung230
4,Prevotella_sp_oral_taxon_473,Alloprevotella sp. oral taxon 473
5,Phocaeicola_abscessus,Phocaeicola abscessus
6,Treponema_socranskii,Treponema socranskii
7,Treponema_sp_OMZ_804,Treponema vincentii
8,Actinomyces_johnsonii,Actinomyces johnsonii
9,Parvimonas_SGB6649,
10,Oribacterium_sinus,Oribacterium sinus
11,Arachnia_SGB15899,
12,Selenomonas_massiliensis,Selenomonas massiliensis
13,Cardiobacterium_valvarum,Cardiobacterium valvarum
14,Prevotella_pleuritidis,Hoylesella pleuritidis
15,Bacteroidaceae_unclassified_SGB1468,
16,Leptotrichia_hongkongensis,Leptotrichia hongkongensis
17,SR1_bacterium_human_oral_taxon_HOT_345,SR1 bacterium human oral taxon HOT-345
18,GGB4538_SGB6253,
19,TM7_phylum_sp_oral_taxon_351,TM7 phylum sp. oral taxon 351
20,Actinomyces_dentalis,Actinomyces dentalis
21,GGB12763_SGB19797,
22,GGB6675_SGB9425,
23,Streptococcus_anginosus_Saliva,Streptococcus anginosus subsp. anginosus
24,Prevotella_conceptionensis,Prevotella conceptionensis 9403948
25,Alloscardovia_omnicolens,Alloscardovia omnicolens
26,GGB4538_SGB6256,
27,Scardovia_wiggsiae,Scardovia wiggsiae
28,Lancefieldella_rimae,Lancefieldella rimae
29,Porphyromonas_endodontalis,Porphyromonas endodontalis
30,Prevotella_multiformis,Prevotella multiformis
31,Desulfobulbus_oralis,Desulfobulbus oralis
32,Kingella_denitrificans,Kingella denitrificans
33,Veillonella_tobetsuensis,Veillonella tobetsuensis
34,Alloprevotella_SGB1466,
35,Aggregatibacter_sp_oral_taxon_458,Aggregatibacter sp. oral taxon 458
36,Actinomyces_graevenitzii,Actinomyces graevenitzii
37,GGB1201_SGB1566,
38,Olsenella_uli,Olsenella uli
39,Granulicatella_elegans,Granulicatella elegans
40,Veillonella_dispar_Saliva,Veillonella dispar
41,Bifidobacterium_longum_Saliva,Bifidobacterium longum
42,Cardiobacterium_hominis,Cardiobacterium hominis
43,GGB1188_SGB1538,
44,Campylobacter_gracilis,Campylobacter gracilis
45,GGB1843_SGB2524,
46,Leptotrichia_wadei,Leptotrichia wadei
47,Selenomonas_SGB5880,
48,Olsenella_profusa,Olsenella profusa
49,Candidatus_Nanosynbacter_lyticus,Candidatus Nanosynbacter lyticus
50,Limosilactobacillus_fermentum_Saliva,Limosilactobacillus fermentum
51,Actinomyces_bouchesdurhonensis,Actinomyces bouchesdurhonensis
52,Leptotrichia_sp_oral_taxon_498,Leptotrichia sp. oral taxon 498
53,Isoptericola_variabilis,Isoptericola variabilis
54,Arachnia_SGB15898,
55,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1
56,Bacteroidetes_oral_taxon_274,Bacteroidetes oral taxon 274
57,Prevotella_sp_HJM029,Prevotella sp. HJM029
58,Peptidiphaga_gingivicola,Peptidiphaga gingivicola
59,GGB12441_SGB19290,
60,Campylobacter_showae,Campylobacter showae
61,Streptococcus_parasanguinis_Saliva,Streptococcus parasanguinis
62,Actinomyces_sp_S6_Spd3,Actinomyces sp. S6-Spd3
63,GGB3385_SGB4472,
64,Eikenella_halliae,Eikenella halliae
65,Lautropia_dentalis,Lautropia dentalis
66,Tannerella_sp_oral_taxon_HOT_286,Tannerella serpentiformis
67,Fusobacterium_nucleatum,Fusobacterium nucleatum
68,GGB4936_SGB6889,
69,Mitsuokella_sp_oral_taxon_131,Mitsuokella sp. oral taxon 131
70,Capnocytophaga_SGB2480,
71,Bifidobacterium_dentium_Saliva,Bifidobacterium dentium
72,Pauljensenia_hongkongensis,Pauljensenia hongkongensis
73,GGB1474_SGB2040,
74,Treponema_lecithinolyticum,Treponema lecithinolyticum
75,Capnocytophaga_sp_oral_taxon_332,Capnocytophaga sp. oral taxon 332
76,Capnocytophaga_leadbetteri,Capnocytophaga leadbetteri
77,Neisseria_subflava,Neisseria subflava 
78,Ottowia_sp_Marseille_P4747,Ottowia massiliensis
79,GGB1472_SGB2038,
80,Leptotrichia_buccalis,Leptotrichia buccalis
81,Candidatus_Saccharibacteria_unclassified_SGB19850,
82,Parvimonas_micra,Parvimonas micra A293
83,Streptococcus_salivarius_Saliva,Streptococcus salivarius
84,GGB12785_SGB19827,
85,GGB4395_SGB6050,
86,Streptococcus_sanguinis,Streptococcus sanguinis
87,Streptococcus_oralis,Streptococcus oralis
88,Treponema_denticola,Treponema denticola
89,Selenomonas_artemidis,Selenomonas artemidis
90,Eubacterium_brachy,Eubacterium brachy
91,Oribacterium_asaccharolyticum,Oribacterium asaccharolyticum
92,Abiotrophia_defectiva,Abiotrophia defectiva
93,Leptotrichia_sp_oral_taxon_212,Leptotrichia sp. oral taxon 212
94,Treponema_SGB3601,
95,GGB1138_SGB1455,
96,Oribacterium_parvum,Oribacterium parvum
97,Prevotella_multisaccharivorax,Hallella multisaccharivorax
98,Dialister_pneumosintes,Dialister pneumosintes
99,GGB10852_SGB17523,
100,Neisseria_sp_oral_taxon_014,Neisseria sp. oral taxon 014
